"","HPOS-002.1","HPOS-002.2","HPOS-002.3","HPOS-002.4","HPOS-004.1","HPOS-004.2","HPOS-004.3","HPOS-004.4","HPOS-006.1","HPOS-006.2","HPOS-006.3","HPOS-006.4","HPOS-010.1","HPOS-010.2","HPOS-011.1","HPOS-011.2","HPOS-011.3","HPOS-012.1","HPOS-012.2","HPOS-012.3","HPOS-014.1","HPOS-014.2","HPOS-014.3","HPOS-016.1","HPOS-016.2","HPOS-016.3","HPOS-020.1","HPOS-020.2","HPOS-020.3","HPOS-025.1","HPOS-025.2","HPOS-025.3","HPOS-028.1","HPOS-028.2","HPOS-028.3","HPOS-029.1","HPOS-029.2","HPOS-036.1","HPOS-036.2","HPOS-038.1","HPOS-038.2","HPOS-038.3","HPOS-038.4","HPOS-040.1","HPOS-040.2","HPOS-040.3","HPOS-042.1","HPOS-042.2","HPOS-043.1","HPOS-043.2","HPOS-043.3","HPOS-043.4","HPOS-044.1","HPOS-044.2","HPOS-044.3","HPOS-045.1","HPOS-045.2","HPOS-045.3","HPOS-045.4","HPOS-051.1","HPOS-051.2","HPOS-051.3","HPOS-055.1","HPOS-055.2","HPOS-055.3","HPOS-055.4","HPOS-056.1","HPOS-056.2","HPOS-056.3","HPOS-056.4","HPOS-057.1","HPOS-057.2","HPOS-057.3","HPOS-057.4","HPOS-059.1","HPOS-059.2","HPOS-059.3","HPOS-062.1","HPOS-062.2","HPOS-064.1","HPOS-064.2","HPOS-064.3","HPOS-072.1","HPOS-072.2","HPOS-072.3","HPOS-074.1","HPOS-074.2","HPOS-075.1","HPOS-075.2","HPOS-075.3","HPOS-075.4","HPOS-075.5","HPOS-078.1","HPOS-078.2","HPOS-078.3","HPOS-080.1","HPOS-080.2","HPOS-080.3","HPOS-082.1","HPOS-082.2","HPOS-082.3","HPOS-085.1","HPOS-085.2","HPOS-085.3"
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W11_LTR.mzML",286.203375977231,308.185409226831,227.12932110156,144.102869820719,204.124209318976,226.105975750334,145.049170682072,85.0285897198988,203.151145022927,158.129477942699,116.071197859199,88.0863206083902,260.18750638586,201.113473892188,276.145903870743,298.127580594387,217.072236897048,246.171480479689,268.151709967055,187.097414183048,156.077793667667,178.059201648465,110.072099943035,189.160956158697,130.086978420733,84.0806991161438,166.084910964156,144.103005578161,84.0813910632031,138.055954860999,94.0656412652224,92.0456314086914,131.118842861642,153.100221304367,114.091272216921,146.118727999882,87.0480902317454,136.049162601152,227.126176690052,130.109579785238,113.081661758579,88.0870742797852,85.049690246582,166.086916624137,120.081187170785,103.054498926223,76.0760018655357,151.145201558142,116.071399433092,160.035818365752,365.069206256117,70.0661598301059,134.019713711362,313.036348815735,356.076354980469,132.077850723913,154.059533083088,176.041465063756,90.055528671433,170.093307631358,126.103144767255,96.0677043416975,137.04707371186,159.028998255726,119.036134504211,110.035217823515,220.118963445464,242.101309774724,202.108278987547,90.0555022841762,139.051365058313,121.032279214477,93.0434677443858,95.0604497567529,112.051342257472,134.032650520734,156.012350596408,244.156102210037,185.081892643432,312.21826396981,334.200920241713,253.144013509182,265.115355126205,122.070872546827,144.047276618579,104.071409009909,148.034684739539,245.07824403359,209.056501926073,191.045889868779,179.045965274146,155.045821658624,312.131862578599,180.088770133814,110.035637705665,232.15598590322,173.081909537092,85.0289217328294,166.073220040688,149.046540160979,124.051292812437,153.066593512842,175.048927429514,136.039858778199
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W12_SR.mzML",286.202058437067,308.185950992899,227.128335484725,144.102848024224,204.123833589928,226.10589309577,145.049439437776,85.028802788443,203.15101749482,158.129278161318,116.070958439763,88.0862781797278,260.186804927203,201.112593845543,276.145437558674,298.127122007154,217.07155822923,246.171000598608,268.151402232169,187.096962329243,156.077488513017,178.05894562944,110.071926443763,189.160614662373,130.08686154118,84.0807439622332,166.084623777338,144.102778772408,84.0813752838459,138.055627001111,94.0654735015777,92.0451889038086,131.118488785595,153.100090658677,114.091294720381,146.118244813527,87.0475622214689,136.048692752537,227.12541255208,130.109015558815,113.082052308108,88.0869473050797,85.0498636448076,166.086548749696,120.081191059129,103.054586354694,76.0756950867465,151.144739028576,116.071112264422,160.035289031865,365.067545358566,70.0659251818802,134.019056311719,313.035678313843,356.07783976075,132.077532983718,154.059283504453,176.04127781398,90.0553960658203,170.092635662121,126.103041150306,96.0675388032116,137.04630937941,159.027994232439,119.035514145444,110.035162691152,220.118191663988,242.100354513096,202.107555353029,90.055566672283,139.050834698244,121.032299173935,93.0433231570704,95.0601877040195,112.050744584827,134.032580820747,156.012607697314,244.155383042868,185.081621364121,312.218350731101,334.200734626075,253.143453248939,265.113787798022,122.072179606279,144.04773350436,104.071013830924,148.034181897558,245.077791932713,209.056234792217,191.045467340419,179.045549300263,155.045603601732,312.130845474523,180.08822065561,110.034994527128,232.155305932595,173.081614549572,85.0286981601259,166.072659086931,149.046137815978,124.050939731004,153.066213797612,175.048045773838,136.039443153647
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W23_LTR.mzML",286.201813565043,308.186315243316,227.127852644892,144.10277955719,204.123544374764,226.105584985209,145.049745329391,85.0286997251011,203.150749216198,158.129185734143,116.070843229866,88.0867548723251,260.18609551922,201.112185001578,276.145222057211,298.126915783522,217.07136021698,246.170716821111,268.151011874476,187.096573536714,156.077500638212,178.058547301465,110.07198033471,189.160495346701,130.086866889312,84.0806923097895,166.084574717107,144.102667377071,84.0815117226452,138.055533077721,94.0654711499546,92.0451913033983,131.118244991784,153.099918738109,114.091618366044,146.11806877553,87.0478782653808,136.049047430614,227.125755277032,130.109450323307,113.082221012916,88.0869579447772,85.0496533796283,166.086682126784,120.081376451262,103.055101551916,76.075642380085,151.144573399706,116.071057290929,160.035220372181,365.068976688428,70.06603372773,134.01949174285,313.035137229123,356.07591564646,132.077678000449,154.05939360321,176.041071390759,90.055456296131,170.092613400694,126.102982826888,96.06741477585,137.046505873129,159.028297266958,119.035892771094,110.035161032294,220.118738075653,242.10076985025,202.107963470441,90.0551764946163,139.051200167993,121.032322739078,93.0432734157173,95.0602682298406,112.051070044403,134.032838392286,156.012968114938,244.155282191633,185.081445488377,312.217279449221,334.199645661236,253.144097312972,265.115422265445,122.071616729422,144.047232461775,104.071268786976,148.033708853078,245.077869676964,209.056352938493,191.045661984698,179.045692949316,155.045856118052,312.131444744082,180.088483953627,110.035809084299,232.154897687945,173.081178246802,85.0286945603789,166.073008218903,149.046257630655,124.051136712675,153.066508734245,175.048552438683,136.039813042627
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W24_SR.mzML",286.202502577889,308.185913275674,227.128629879837,144.102735715986,204.124088108772,226.106050314074,145.04977208219,85.0287416441877,203.151037503561,158.129352256077,116.071070152436,88.0863892530822,260.186480506032,201.112419603072,276.145832600476,298.12736364339,217.0709482418,246.171009467497,268.151295084039,187.09726326941,156.077485718885,178.058862902813,110.071934085717,189.160564835928,130.086862766282,84.0807343738524,166.084524979551,144.1026195722,84.0816221979076,138.055635068562,94.0650853288228,92.0451297760009,131.118680897404,153.100003640803,114.091347178038,146.118267774817,87.0475243999346,136.049313021139,227.126044157158,130.109500969961,113.082256353797,88.0873526901583,85.0486296174229,166.086898090986,120.081315439594,103.054835544962,76.0757470696402,151.144647964692,116.071211685332,160.035183935403,365.069723032495,70.0660784208388,134.019320616214,313.037308743428,356.080243655755,132.077675784876,154.059408892546,176.041338440049,90.0554941213411,170.092515141324,126.102889802872,96.0674713927427,137.046528545962,159.028297627059,119.035669188914,110.035282476542,220.118764212417,242.101002168698,202.10799884006,90.0553990357447,139.051068271153,121.032731621306,93.0433634627324,95.0594178666811,112.051308848286,134.03280713641,156.012936865748,244.155666539384,185.081638412102,312.217499434719,334.200111537366,253.143714103722,265.115692138672,122.071854573884,144.047530885166,104.071317745071,148.033179199305,245.078164299248,209.056510289354,191.04570460734,179.045788358988,155.045564434225,312.131683997601,180.088600776531,110.035262465205,232.155088500933,173.081446449304,85.0285171004936,166.072912490566,149.046209466746,124.050930980408,153.066425158305,175.048627569041,136.039702790396
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W35_LTR.mzML",286.202620199969,308.184755038541,227.128549981845,144.103020335422,204.123779389554,226.105739455679,145.0493084974,85.0288195148066,203.150979392736,158.129368469649,116.070777062709,88.0865711145861,260.187103199854,201.112851857614,276.145584735674,298.127444943229,217.071272724949,246.170899906528,268.151232674378,187.097070676432,156.077411353561,178.058793986092,110.071933486886,189.160400807813,130.086684491071,84.0803635440624,166.08456643495,144.102682634007,84.0818754028964,138.055694658461,94.0654018882762,92.0451915102962,131.118673178879,153.100412665165,114.091738300767,146.118416888538,87.0482005186922,136.049277825979,227.126117877184,130.109342460731,113.08057937175,88.0868530273437,85.0491714477539,166.086799909363,120.08116037016,103.054868226961,76.0758228254995,151.14499912942,116.071434946286,160.035365549924,365.066601012141,70.0657603375192,134.019355755037,313.035903736919,356.076960125016,132.077815740448,154.059509250579,176.041214675743,90.055475534437,170.092507917353,126.102906831823,96.0676308731661,137.046616688217,159.028406929759,119.035769013775,110.035231650043,220.118937531533,242.101143999876,202.108187038112,90.0549609609012,139.050576201009,121.032333986831,93.0431743755297,95.0605244760263,112.051182943482,134.032459251086,156.012672077456,244.15596671482,185.082101236619,312.218438140821,334.200914397341,253.143763704237,265.115368768675,122.072054259305,144.047328735803,104.071186329861,148.033803888637,245.077336329641,209.05588239804,191.045142421888,179.045160047233,155.045294503907,312.131480859034,180.088495623557,110.035717182236,232.155113504079,173.08133201122,85.0286691407579,166.073096865318,149.046292205974,124.051059494928,153.066016782257,175.048757706544,136.039916993295
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W36_SR.mzML",286.201895148694,308.186068794576,227.128264468702,144.102638720377,204.123422025119,226.10560548982,145.049420296951,85.0285110504387,203.150507005299,158.128943801631,116.07077894488,88.0863020004011,260.186649343927,201.112556282472,276.145441420648,298.126990103657,217.071547550727,246.170541431613,268.150929924707,187.096745250014,156.076821780136,178.058235668839,110.07147873962,189.159867231045,130.086407067039,84.0804106673755,166.084266134801,144.10245266532,84.0816022999967,138.05535686067,94.0654161099493,92.0446548461914,131.118381736986,153.099772461349,114.091650517162,146.117981145815,87.0486373901367,136.049194550863,227.12599068183,130.10928158761,113.082291283566,88.087213900025,85.0500792399237,166.086642491177,120.081276001925,103.054666175732,76.0757420974657,151.144619100629,116.071003300517,160.034925688743,365.068620412525,70.065971569531,134.018994616571,313.035774385981,356.078430291494,132.077207699024,154.058993198666,176.040615685405,90.0551881023213,170.09227752463,126.102583242119,96.0674260981156,137.046693114695,159.028533307007,119.036037613788,110.035402169656,220.118847997714,242.101059927051,202.107956596543,90.0551932530894,139.051053380438,121.033216428486,93.0434322369128,95.0602548212267,112.051280272415,134.032511163593,156.013415498578,244.155084117773,185.081227867997,312.21757820566,334.20008000297,253.143083830643,265.115573718932,122.071901979559,144.047572355736,104.071224061107,148.033634220691,245.078179732072,209.056742214116,191.045688515055,179.046085326655,155.045647580983,312.131665240279,180.088646233381,110.035126677361,232.154702563593,173.081195645826,85.0285965180286,166.072910095904,149.046271292472,124.050951943131,153.066569315485,175.048686428192,136.039935115437
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W47_LTR.mzML",286.200988059307,308.185339324409,227.127202649537,144.102109428834,204.12288993286,226.105034818695,145.048826918981,85.0285196681742,203.150575066197,158.128933662835,116.07055882663,88.0863628851191,260.185372756902,201.112444800285,276.145091438591,298.127180624734,217.070920003549,246.170169719035,268.150641833459,187.096097381812,156.077085717142,178.058472526139,110.071640538563,189.160050270629,130.086500105521,84.0805084643456,166.083801211794,144.101988223777,84.0815533282773,138.055126057004,94.0649514569061,92.0453778210499,131.117911535742,153.099616757793,114.091492797297,146.117657904243,87.0476576254411,136.048714294486,227.125389124815,130.108711949025,113.081185273477,88.0868530273437,85.0491714477539,166.086239359129,120.080816017589,103.054625513155,76.0753951589439,151.144009837691,116.070642439508,160.034110930838,365.069883398004,70.0663802710763,134.019142532011,313.034259873646,356.078725775465,132.077325875886,154.059036740114,176.040927765803,90.0552501609209,170.092685539098,126.102657536789,96.0676139626684,137.04588718737,159.027659351316,119.035077757461,110.035117047395,220.117814936394,242.099847918905,202.107128759135,90.0549194762627,139.050553256326,121.032801036686,93.0435335542632,95.0600800451411,112.050672200774,134.032774373271,156.013184621248,244.154199412507,185.080826816038,312.216448346542,334.198704157839,253.144616590414,265.114924963203,122.071594334159,144.047160786861,104.070631815947,148.033467137534,245.077134942953,209.05566525089,191.045063838875,179.045267067419,155.045241709742,312.129805895841,180.087554278349,110.035246136247,232.154440345675,173.080788750552,85.0285725011712,166.07252968278,149.045936519121,124.050426761931,153.065942663047,175.04777524235,136.039342103584
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W48_SR.mzML",286.20149224993,308.18575100666,227.127924081801,144.102829678392,204.122999159176,226.104971909158,145.049021317892,85.0285143826619,203.150210802104,158.128745470311,116.070716041889,88.0862691314703,260.186232083525,201.112286820611,276.145470767442,298.127029925339,217.07142264877,246.16977144067,268.149910841482,187.096263105539,156.076963821374,178.058460279135,110.071607193545,189.160017994435,130.086488668708,84.0804673966285,166.083812833321,144.102019225929,84.0814647401962,138.055071758557,94.0652924924753,92.0450292813983,131.11787296526,153.099723661542,114.091464398144,146.117645519492,87.0478782653808,136.048727566784,227.125333997447,130.109144314097,113.082269799022,88.0871033713584,85.0497975956905,166.086445173196,120.080977122527,103.055231736471,76.0754267238064,151.144161954632,116.070702495905,160.034695624591,365.067278043046,70.0659224723328,134.019043618546,313.035304491833,356.078051655927,132.077351507224,154.059072673312,176.040880953543,90.0552366738148,170.09242509072,126.102610438222,96.0675833158695,137.046250868205,159.028003596609,119.035396395919,110.035268438932,220.118471414166,242.100625697081,202.107511936403,90.0552563109263,139.050490682649,121.032356423183,93.0436499882846,95.0602421993275,112.050778941726,134.03264762926,156.012605604279,244.154690656576,185.081075069284,312.216680863642,334.199064093586,253.142946768465,265.114057236442,122.07114845167,144.047238363374,104.070723055978,148.034355890988,245.077900729447,209.056353403017,191.045404432841,179.045584772368,155.045642164521,312.130507676224,180.08791644223,110.035224520489,232.154702483625,173.080966886742,85.0283580179422,166.072649537582,149.04589842565,124.050808669862,153.066121800487,175.047814191966,136.03938492068
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W59_LTR.mzML",286.201509427104,308.185659916741,227.127840917096,144.102611558564,204.123125105439,226.105382015728,145.049351023749,85.0284897026379,203.151085848706,158.129397817799,116.070891947635,88.0864099901195,260.186378171242,201.112782105629,276.145424840729,298.127631282343,217.071692950616,246.170812265658,268.151508305867,187.096600068139,156.077299834477,178.058746673646,110.071755658198,189.160293570274,130.08662917164,84.0805405855819,166.084405485075,144.102557416689,84.0817495364631,138.055385863893,94.0652060739925,92.0460739135742,131.118434246515,153.099956218606,114.091712959833,146.117743998802,87.047656117754,136.049015662525,227.125946867667,130.10912196313,113.081085205078,88.0868530273437,85.0491714477539,166.086476407599,120.081076294528,103.05494223956,76.0753820444518,151.1441345306,116.070820335223,160.034794496323,365.069645390004,70.0662462512178,134.018935934361,313.035873148059,356.079084749691,132.077601526113,154.059162167433,176.040908336828,90.0552155937579,170.092486359074,126.102776626549,96.0672990220526,137.046367588458,159.028152159052,119.0352718867,110.035356891224,220.11826713305,242.100561254457,202.10771921599,90.0548808883962,139.050550379834,121.032834388921,93.0435015352584,95.0602056062003,112.050810973394,134.032754431682,156.012842410814,244.155074389577,185.08112428581,312.216851897157,334.199168090014,253.144079076044,265.115424259933,122.072130296182,144.046947442873,104.071058045418,148.034113083977,245.077450221499,209.055843243943,191.045051738751,179.045226094832,155.045351325465,312.130780867373,180.088052765984,110.035688271064,232.154979424116,173.081111798022,85.0286754942826,166.072896671637,149.046218821605,124.050694294324,153.065895324504,175.048004529445,136.039468069478
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W60_SR.mzML",286.202150758113,308.186320971948,227.128381384233,144.102538433295,204.123610239165,226.105855714919,145.048938423518,85.0284940316045,203.150482932104,158.128881336856,116.070623567368,88.0865474696637,260.186474351308,201.112301041162,276.14520805804,298.126728665391,217.070678401041,246.170571102446,268.151075809645,187.096783782571,156.077369247873,178.058827817258,110.071896483075,189.160282186347,130.086542575699,84.0805047618029,166.084307635519,144.102490907702,84.0815819182454,138.055437600909,94.0655061893678,92.045786963643,131.118325693701,153.100062726351,114.091626588909,146.117854193939,87.0478782653808,136.048824186567,227.125507727986,130.108922253117,113.082199990764,88.0870501360887,85.0500215131522,166.086436670224,120.080935862031,103.054994850046,76.0756544829285,151.144687706596,116.070835098017,160.034639681262,365.069228336122,70.0656653599874,134.018972035109,313.034906159379,356.076755624287,132.077254209362,154.058995693889,176.040792145897,90.0551802983806,170.092460977876,126.102760475212,96.0676166749308,137.046836166101,159.028672068736,119.03596093939,110.035120150866,220.11878020675,242.100999021933,202.108254462306,90.0554097835942,139.050902506321,121.031803737714,93.0432918279588,95.0604130825809,112.050771907246,134.032672829927,156.012249831381,244.155291008684,185.081267372937,312.217659383361,334.200112300179,253.143196370952,265.115796638431,122.07182480558,144.047543575928,104.071142687581,148.033805340403,245.078165262385,209.056338074997,191.045762698542,179.0457023154,155.045678833059,312.130908681878,180.088115924087,110.035316904512,232.154651638272,173.080973774251,85.0284022673556,166.072340653998,149.045637073387,124.050473949585,153.066422085732,175.048043988298,136.039472071331
