"","RNEG-002.1","RNEG-002.2","RNEG-002.3","RNEG-002.4","RNEG-003.1","RNEG-003.2","RNEG-003.3","RNEG-006.1","RNEG-006.2","RNEG-009.1","RNEG-009.2","RNEG-009.3","RNEG-009.4","RNEG-011.1","RNEG-011.2","RNEG-011.3","RNEG-011.4","RNEG-016.1","RNEG-016.2","RNEG-020.1","RNEG-020.2","RNEG-020.3","RNEG-021.1","RNEG-021.2","RNEG-021.3","RNEG-022.1","RNEG-022.2","RNEG-022.3","RNEG-022.4","RNEG-022.5","RNEG-023.1","RNEG-023.2","RNEG-023.3","RNEG-023.4","RNEG-023.5","RNEG-024.1","RNEG-024.2","RNEG-024.3","RNEG-024.4","RNEG-027.1","RNEG-027.2","RNEG-027.3","RNEG-028.1","RNEG-028.2","RNEG-031.1","RNEG-031.2","RNEG-032.1","RNEG-032.2","RNEG-032.3","RNEG-033.1","RNEG-033.2","RNEG-035.1","RNEG-035.2","RNEG-035.3","RNEG-041.1","RNEG-041.2","RNEG-041.3","RNEG-043.1","RNEG-043.2","RNEG-043.3","RNEG-045.1","RNEG-045.2","RNEG-045.3","RNEG-048.1","RNEG-048.2","RNEG-048.3","RNEG-049.1","RNEG-049.2","RNEG-049.3","RNEG-049.4","RNEG-052.1","RNEG-052.2","RNEG-052.3","RNEG-054.1","RNEG-054.2","RNEG-054.3","RNEG-054.4","RNEG-059.1","RNEG-059.2","RNEG-059.3","RNEG-060.1","RNEG-060.2","RNEG-060.3","RNEG-063.1","RNEG-063.2","RNEG-063.3","RNEG-063.4","RNEG-065.1","RNEG-065.2","RNEG-068.1","RNEG-068.2","RNEG-069.1","RNEG-069.2","RNEG-069.3","RNEG-071.1","RNEG-071.2","RNEG-071.3","RNEG-071.4","RNEG-074.1","RNEG-074.2","RNEG-075.1","RNEG-075.2","RNEG-075.3","RNEG-078.1","RNEG-078.2","RNEG-079.1","RNEG-079.2","RNEG-080.1","RNEG-080.2","RNEG-080.3"
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W11_LTR.mzML",NA,699021.027613298,304907.595142035,85589.1806582884,NA,NA,NA,56391.334885849,10244.2352367046,1767853.99669252,484287.149821661,50302.4714245764,1452.59410266197,199757.580020682,4746.24254841216,11349.259566408,4965.33963409911,340678.178798637,9719.5844476044,401778.017116669,87938.4052909731,7514.55099525901,167824.942036577,23257.3062935973,10185.4487590428,946617.01785768,NA,29743.8652466228,10964.4697882029,NA,NA,4776824.0481379,281821.0738253,198945.288607747,NA,1340813.23035706,119619.875298127,19038.4584518597,NA,NA,NA,NA,73844.4640191236,NA,97116.3479176972,32631.7997912144,NA,1951868.22628119,72827.3260267894,34439.9405155186,12062.0070170154,NA,NA,14326.6060242334,3701648.40859574,706393.093356303,26536.9812753141,184705.773247556,64818.7905766769,NA,1180602.00352863,13281.1656360593,NA,335459.393252844,10350.6663811208,5965.54163053427,1389457.77518462,62861.1316032061,79442.0931237666,21725.8140991488,350042.362677103,106098.364475045,20746.8886972674,992543.841901183,27972.391558895,NA,2213.28547088157,NA,NA,NA,478960.811450874,195575.773956611,2920.50855490051,54776.1661420062,130070.40272127,2175.82486565971,NA,203862.90736868,NA,120009.754586992,NA,250628.470000728,4007.88339282381,805.137757307496,NA,1203038.78391556,230194.293975871,116048.083004778,139869.580076996,NA,21192.7256747441,10018.8896982742,NA,118943.473580158,NA,111993.573015212,1100.93432881279,1566664.92326473,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W12_SR.mzML",NA,1559436.12224109,510024.683234523,140139.394775706,NA,NA,NA,88262.1809106933,NA,1503669.1713725,403982.740396874,42631.2147202989,1039.04822534765,532384.910117775,12087.4724599359,30551.8194377857,11749.178622095,456432.583334209,14817.4584070034,530726.246435737,94806.6297382937,10626.5602280803,248970.873001411,24470.285718604,16035.7537506458,1628598.86241863,76867.4769974185,48672.4259364327,18735.2392058865,23191.946841507,NA,6187514.00053688,555442.113143399,335414.673398815,160668.194724875,1088739.32288027,99191.9423493222,15484.4482721134,12001.964936766,18591.247352042,NA,NA,458676.74355768,NA,282160.632153316,91457.9358175016,NA,1552424.18660796,61237.1427035754,45097.9161009246,15193.7700746176,NA,NA,NA,NA,1610917.33570768,74928.7459992324,166595.534899237,38389.4822188955,NA,1822754.98504537,18509.4865520264,NA,348994.010951432,8620.97541616007,6517.04674200313,2090429.96430811,107841.173016431,116137.255282556,NA,665747.295862786,136138.853144654,39273.2472653756,1554683.28522886,19698.8470941533,57490.0606315869,NA,NA,NA,NA,650428.311148025,231758.347923873,8410.52320396307,66898.1077978703,144559.392455244,519.817866720153,6856.14152379728,242615.762528901,17691.4435429824,255320.74740843,NA,323703.474594969,4952.88567446261,1081.61399414195,NA,1834304.02138304,361477.356428068,172760.103055271,126908.96464153,NA,33570.4760252132,12496.546006055,NA,111808.531951835,35723.2929900005,83225.0905796923,1455.38256520508,2259978.07030784,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W23_LTR.mzML",NA,590792.488792583,293302.956547112,83203.6782754042,NA,NA,3922.02062348905,59810.8367774683,NA,1684951.06741268,466331.601688009,49010.4073945482,NA,190633.095402512,NA,9899.04658884788,4811.19158787944,311757.556861984,NA,384438.053962444,87987.3215982533,7386.65974787876,158969.494564328,23203.0938523153,9943.40451516111,910494.061357383,NA,28328.6201946618,10176.0609095442,NA,NA,4779533.92896474,276280.439932191,194573.216608409,84910.1935708486,1286585.61964251,129090.297567116,18188.273572194,NA,38454.7712426627,9851.52387210953,NA,70074.0720393943,12848.2786417929,92096.4696839333,31207.8907480508,NA,2703311.31731334,93678.8572522374,32621.3156245653,12335.8999284011,NA,NA,13561.1938774619,3437630.18809131,662220.724904367,28072.3012232326,181953.395745402,64373.464109748,NA,1129958.57842608,12448.1744100206,43507.2765324635,330292.177059327,9465.83537924266,5766.44826137017,1339450.45749321,62493.958936753,75944.7186649049,37587.5007383805,331797.113844424,102377.422237023,20858.5983738811,NA,28561.2760024551,34965.165828403,NA,NA,4167.07104960204,NA,457204.938951951,187545.974508256,NA,49654.1663105468,117183.286083857,NA,7763.48172909899,195508.188046523,11231.6489470415,121878.405001731,5244.27740641148,251046.905079341,4070.24854673638,2811.6280524555,NA,1147331.01683518,229368.023666521,111819.339808526,135918.64496286,NA,19026.8493450757,9800.7064728248,NA,113969.068774187,33237.8247450739,105342.129936273,3402.55312960166,1484711.1932125,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W24_SR.mzML",NA,1455618.86228653,512393.44044418,142280.676210144,NA,NA,NA,88242.588285205,NA,1511031.97080441,402000.652518905,42984.1665612995,2039.11982665756,532512.533712325,11849.907579547,29940.074724845,11326.3741199184,395744.577446077,12301.130849862,511975.026209664,91667.8383736768,10042.7202020778,253883.749233704,24020.5599873618,15198.4481741698,1640557.63531142,51251.523516792,50049.9339283106,19319.0751673502,19407.0439502196,NA,6128391.86358503,554022.951967685,333075.89486464,159158.198018553,1083139.12003165,98825.6693217694,15644.7045971396,12247.9985315141,NA,NA,NA,458467.495719555,86752.761873098,291216.101239998,93041.8723545338,7886787.91199959,1970715.73874878,74965.2869039582,44136.4875221199,14725.1108236348,NA,NA,NA,NA,1648538.41824881,92981.8157981709,162904.574318897,37621.661349199,NA,1797353.10420713,18748.649585823,72034.0052654353,334006.050061768,9260.05778903063,6170.58033363405,2058482.62841245,107937.845153246,113161.646046832,92303.2273524844,672742.695162924,133468.170551463,39836.3791976347,1455376.914971,25037.3218619826,52658.9537312429,NA,NA,11616.936132696,NA,647287.541020474,230421.338103298,5436.44139141814,67402.0920660192,144239.827132172,NA,NA,242128.460174303,5440.33236540598,262733.373811194,NA,319820.718502631,4776.18098440909,NA,NA,1832205.69073961,361469.886961762,174135.335331466,126853.402099673,NA,33651.2293994998,13295.677529338,NA,113405.008730085,35503.2589268949,84731.3204052073,NA,2285013.39767593,37613.8600402339,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W35_LTR.mzML",NA,691792.044484409,299920.262877015,85412.39200186,NA,NA,3327.00374685649,61542.5919059813,10147.0178837018,1708596.59633426,470114.85987024,49099.8638908691,NA,189899.873781409,4772.66680388616,NA,4584.25417889346,327277.420723708,10310.2202152285,373426.230007639,82674.8130452109,7319.47437657136,163403.334428209,23856.2056046733,9817.4032126855,904230.795723249,33898.6219512695,27217.6836574803,10576.2995298972,12382.3363405158,NA,4801224.69721853,278359.055423475,195066.026326451,83877.1173694695,1302684.44835455,123261.309065607,18517.0671993966,17380.0949379019,39152.4328821865,12714.0691211237,NA,70299.0849950549,13272.6530246993,91983.0150771602,30691.587581453,NA,2355004.17738287,83898.4395453363,32181.9867531653,12579.0237010529,NA,NA,NA,3504534.09133623,687155.478483016,25223.6017997905,179958.399363375,63791.2988144823,NA,1123093.58698385,12420.4383294774,44100.3966444345,332497.475436607,9721.78752065619,6426.072564474,1339433.94649323,62614.0594719423,76179.3976520644,37665.7545089642,334904.7419156,100543.467323618,20588.7155091302,971235.712907289,25313.4708308421,35672.9207389564,NA,NA,NA,NA,460060.708381641,191074.010578903,NA,47773.5619022214,114023.597308872,NA,8459.24086813438,196261.57389307,NA,118009.59676642,4546.08362501059,246961.795640064,3959.9130483988,809.757021055719,NA,1147840.60154122,229302.191325597,110027.104440354,134915.047534793,3030.45872114313,NA,8971.00310178512,NA,115068.560329336,32043.8108482197,105322.610475225,NA,1504468.08501356,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W36_SR.mzML",NA,1549232.2505943,515655.156027701,144284.23487117,NA,NA,NA,86664.2168083922,NA,1509077.98021215,396808.687224351,42788.5482747725,NA,534030.225452714,12017.2178061356,29616.2067992133,11641.6783967825,389945.112376678,12638.8738558687,514781.979302986,89424.0586704127,9861.52214763916,252819.840333534,25403.6051593648,15038.6197405606,1649674.64868874,12905.2851358983,50749.2664401599,19427.9478825711,NA,NA,6118809.52237713,557747.199051521,333773.589349773,158865.131981305,1091755.01151153,99728.0017261426,15520.3551934888,11415.0229879726,18610.662729625,NA,NA,461689.453929888,86778.2528576251,294448.808910932,93645.1765306161,NA,2092526.14147682,80051.5367411002,44249.7255955838,14748.3436307078,540758.031915204,NA,19193.0789159391,NA,1659678.64742369,98176.3498254294,160277.037419667,35038.224711662,NA,1794209.73090964,19826.8985398344,NA,340209.56038799,9416.17581350935,6292.45694099976,2072417.60117562,108777.823794185,114575.893534317,NA,671389.440384064,134131.747067064,38874.6582215192,1453273.00927371,26156.4114423701,54037.6837503024,898.449400055113,NA,NA,NA,653616.806580888,231294.663215127,NA,66967.0777659114,143903.81123986,4503.32626124161,NA,243518.860709675,NA,261311.574478098,NA,324250.654290424,4642.83379921974,1158.60264036583,NA,1835159.2753952,364212.385081317,176440.957996971,126336.002699867,2538.42306955825,35099.1901205436,13672.5317298005,NA,113020.738713323,34059.6525087127,81873.5709864973,NA,2279018.33141864,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W47_LTR.mzML",NA,608494.516152178,296012.640857037,84242.5355826426,NA,NA,3563.04381475392,61154.3768507188,10203.0908761675,1715116.46303329,463242.191647121,46518.1555484789,NA,190458.233439696,4476.97575725729,10323.3947195977,5105.8505025402,318705.870658158,9750.89091664036,365294.996226854,82380.6674240327,7182.45240539771,163866.884439357,23125.2027185429,9244.25878600535,912537.66967497,NA,28845.9990220425,10021.1641857549,NA,NA,4612511.13023967,272910.593803855,187387.198421112,81458.4043763588,1289389.33804529,130750.094312676,17299.6745414902,NA,NA,NA,NA,70969.8044429072,13360.7738551144,92639.7374663654,30891.1190407929,NA,2372462.78083768,85365.2772517028,30798.7403539889,11291.9696981527,NA,NA,NA,3510852.13560461,679864.58429586,NA,180202.304187658,65240.164413371,NA,1121740.08061982,12025.665083508,NA,322423.657377205,9542.52187970789,5634.50933781111,1328002.03501347,61765.3689299556,73729.3424363895,36957.8767698289,336348.781419196,99955.8759336489,20550.4359388178,941031.830728677,28282.9232691843,33246.5209000676,NA,NA,NA,428.931808044628,458542.244780691,187771.223805946,NA,52514.2482261453,123176.759194165,NA,NA,195476.95257736,10021.2538818213,116315.332734278,4097.38134673317,249589.950246494,3863.15648149975,NA,NA,1154523.50694963,230759.712508329,109878.009635171,134018.763151343,483.569338553401,18179.5469791608,11378.1744158386,NA,116000.716565889,31071.3802483609,107781.464556424,NA,1499181.48290571,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W48_SR.mzML",NA,1544828.17783698,512218.755272965,139905.099623058,NA,NA,NA,85659.5212167513,15584.7467349562,1509879.34381988,400055.593223265,42226.7745470441,NA,531658.182414607,12208.5935416755,30091.6652071567,12298.8184327139,378358.863605868,NA,506973.775591142,92144.2972991223,10278.2282710075,256046.082265616,26763.9239919994,15900.5988282538,1636203.18148124,NA,48956.2854395495,19095.7790235672,NA,NA,6144515.99790715,557204.021062049,328271.80297372,NA,1088885.64500293,100883.065754811,15554.3450875902,NA,16632.9412529175,NA,NA,465223.539154231,NA,291405.768519097,93865.3362688513,NA,2474221.9078936,87380.2329323557,43384.1938286469,14375.1819718141,NA,NA,NA,NA,1647107.48232114,NA,161163.318888975,34973.4735018222,NA,1798506.09109517,18373.191694587,NA,344318.092699502,NA,6073.95164055911,2054840.98289121,NA,113649.3274675,28776.2353189392,666277.552210181,134229.377161781,39281.2511175908,1431295.87423704,26446.5678453414,51991.0987140616,NA,NA,NA,NA,645243.138107135,229240.595102024,3612.46084008139,71074.3702239161,151548.659332016,4066.33019727629,8836.18341590417,239148.851622555,11610.9051563331,264812.144148332,NA,322304.465366795,4490.65420381705,1031.39225246216,NA,1816677.9479868,358108.739790977,203000.260539826,123037.642974239,NA,38334.7129763352,14175.7434165262,NA,111122.537703393,NA,77952.4518043127,NA,2307859.03329629,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W59_LTR.mzML",NA,710573.0355455,301302.757827057,84450.6846365729,NA,NA,NA,61151.9225639108,NA,1733528.17897598,471138.697173404,49201.9252186525,2488.44500479531,193361.43075758,4726.68468172348,10455.0898038941,6202.37612117511,354469.814617433,NA,368222.259690057,79511.9049836495,7224.69871099811,164301.710613754,23854.7937828983,9784.43470135332,925602.631798757,NA,28936.3213258063,10886.9978579722,NA,NA,4812494.29119166,277776.562705127,190195.022043142,83324.6606544458,1305698.48124937,121946.469765378,18270.3084012085,14450.9732144782,NA,NA,NA,74034.4608572558,NA,92022.7764507477,30430.1346298703,NA,1064507.47281098,43792.5101037745,33224.0174241539,12056.0347771806,NA,NA,13758.8824664126,3594075.10712602,697043.97914588,17263.8116315237,183377.426601579,NA,NA,1105014.53364271,11843.4986525618,NA,325797.363984651,9875.10305975405,5524.08078467753,1335808.31276155,61817.5569413035,73576.432730988,NA,342999.07852802,103024.36286488,20943.8598244791,965876.82762235,29535.3760488457,NA,NA,NA,NA,NA,468319.677145493,191363.260287966,3553.55109572366,50826.5539605743,122222.450382853,NA,8763.39009581868,201064.358871679,10138.7137842268,113340.769895007,3793.72916442779,254715.921770678,3921.88881527463,2957.52139879456,NA,1154671.86094479,229140.007163492,110605.928784632,135853.729894804,NA,17671.3483751532,8449.50425650472,NA,115763.485846786,NA,101134.874660469,NA,1501608.61477767,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W60_SR.mzML",NA,1530123.06528062,494713.918128561,137529.304967489,NA,NA,NA,81198.7987635913,NA,1452712.91718882,383345.07948767,39441.9431897115,NA,511428.97553624,10940.5006227224,28530.5631754449,10783.9283676424,542777.309118371,15966.6143472885,495919.997232564,88304.7730498076,9659.75124573838,240620.711927674,25954.6849547167,14716.7463082439,1575313.91241768,NA,45526.1754221188,17865.74395869,NA,NA,5803462.95568224,518553.848001092,305489.260304781,145787.096292748,1026340.26702881,93360.0086604209,14687.9083530463,NA,24298.1955628359,NA,NA,455253.906388152,NA,263980.317973819,84095.101973874,NA,1403127.32944661,53930.2317337515,43839.7123663417,15103.6160353469,510218.612357455,NA,NA,NA,1632019.68171632,NA,151418.697005046,32056.7572951742,NA,1751734.24732489,17723.8478587014,NA,384906.428925846,8359.05487343024,NA,1973215.26394383,101454.174355246,106070.125642267,NA,638689.960735398,130070.132429396,37850.9035632702,1631069.57533215,13477.1416659618,58244.3358503953,NA,NA,NA,NA,624321.403338292,224581.0110671,NA,67311.6313955517,145378.283817985,NA,NA,234398.980965827,NA,263642.391493038,11694.9533544515,309652.615975788,4371.85773818782,1010.43078356656,NA,1738749.33437476,349205.275433605,166746.180482558,122630.604551341,2417.72176226056,35096.4817727833,13223.4220144173,NA,108557.784526667,33440.4011933953,80248.0348963494,NA,2205908.09485165,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W71_LTR.mzML",NA,671070.305813847,303782.829252861,85125.688352592,NA,NA,NA,60608.2651721715,10204.4550854573,1734671.11919309,463771.973856573,47481.7962726088,1034.01904398461,194366.210229875,4455.62118985484,10368.218511697,4802.46645009029,328728.940672215,NA,343122.86955069,72858.6717162736,6776.67185930561,164376.862376232,22954.5913807373,10080.6093855104,932516.094724751,16381.8166064726,28426.3993684466,10370.4025592757,9511.61877296528,NA,4690909.40185599,275356.850284507,184068.245800644,81066.764492427,1301271.79470025,120666.042885906,18420.9491543203,4523.5298379978,NA,NA,NA,74839.8360068571,NA,93695.6151214493,31352.2559279055,NA,1522780.10677264,59262.8260989767,31000.6929098747,11290.4032517182,NA,NA,13543.3338917867,3601130.79568744,703907.529749363,20126.0073292594,177755.247344064,59396.8363866225,NA,1113164.03050252,11636.3659824168,26391.4158560568,310201.627733919,9719.39353363017,5969.24937474901,1300614.79864471,61004.4976899453,71846.9216057393,NA,337476.482940458,98659.7389357737,20959.474579053,992154.607133168,26962.5626909784,35693.0983711078,5288.69836722223,NA,NA,NA,468218.130755039,189827.27403504,NA,51858.8608819616,122636.456691873,NA,NA,199314.074923721,1121.37050242387,107597.415593862,12196.1788136462,256675.767627051,3610.92057347227,776.152981388018,NA,1144925.21827109,230998.429731975,111450.682367817,133566.441491217,NA,24018.273744678,11030.8406581202,5397.83433258111,112505.987556701,NA,105175.537085831,NA,1483598.37964257,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W72_SR.mzML",NA,1484690.99839668,498190.554915139,136628.643105611,NA,NA,NA,81688.4730861157,NA,1435621.11055909,380194.666572437,39339.1077599307,NA,516243.526088374,11547.6523116666,28174.5827944657,10879.5738813508,427081.563916238,NA,476620.425786877,88328.6063102928,10088.4222403421,238527.431936306,24913.8890541901,13812.3258325005,1580724.48234648,NA,45442.8406485946,17586.784840038,NA,NA,5863872.31276675,521958.071823789,302938.422855715,136926.044552916,1036101.53133624,94778.0475793169,14070.3169319293,NA,17199.1268636578,NA,NA,448552.563341803,NA,267563.012288334,86409.6936113896,5397420.16288388,1033583.05561449,44440.2630588365,42727.4734160026,14052.0542611749,NA,NA,NA,NA,1627298.21343887,NA,147960.825771412,30828.149942905,NA,1727634.55751128,16509.2407463569,NA,371618.144231041,8184.35288533495,NA,1967642.60411418,106651.076396646,106805.444420256,NA,636513.02685626,127905.556995537,36946.6343356101,1402940.59974775,25907.042758618,NA,NA,NA,NA,NA,628439.886182577,223338.904412488,3238.27992387265,62702.8308841621,146775.492047935,NA,9261.10189312454,236649.61039431,14524.6937305487,260989.383104562,NA,312103.197629337,4631.0885208128,945.853070662513,NA,1734719.70377517,336046.701606345,162579.756617641,121761.386078307,NA,31189.573553038,15247.5633823141,NA,108628.400962156,NA,83536.0318511921,NA,2178841.57179741,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W83_LTR.mzML",NA,743084.457239427,309916.364735642,86849.8083267897,NA,1444.91685628211,NA,60482.4542416241,10378.3768506851,1779705.84619654,469881.838046389,49129.5156329886,733.290438048278,201751.367641967,4512.9053378177,10977.8988084738,NA,325946.936605742,NA,349090.192048016,70683.6890352517,6754.41024900903,169552.11648693,23211.1183308036,9812.40084555026,961984.164254133,NA,30303.5923466132,11109.7625612854,NA,NA,4674340.31163391,279857.710684871,185525.805966456,76889.282325282,1335675.39040279,122863.880629383,18623.7532355549,NA,NA,NA,NA,77856.0959725746,13595.3396681691,101642.238964476,33054.2881093782,NA,1722543.76105031,64628.3915094529,30753.9661972582,11616.7869770861,NA,NA,NA,3714974.40978515,736730.364710215,NA,175143.069902344,59279.4609630129,NA,1120772.09664158,12090.9467447465,NA,301427.501287145,9745.56582960703,5642.38339330247,1328388.17464379,NA,73138.64720998,NA,347929.283403725,102186.824807399,22006.216564495,1018627.28894601,26061.2339602396,37575.0777402473,NA,NA,NA,NA,484539.19363586,193545.771556599,NA,55424.3110917572,130385.124280578,NA,NA,206688.687078044,4949.8882097154,109185.43775734,NA,256168.970254108,3566.14220604017,NA,NA,1178263.72509469,238617.922525901,113885.969160668,136678.684846586,NA,NA,7127.60948477931,3221.78970644974,116966.764517041,NA,110080.008419342,NA,1538085.47101431,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W84_SR.mzML",NA,1418735.36915751,498157.916580375,138300.922616528,NA,NA,NA,81899.9970992669,NA,1449480.44048842,386699.532535776,37944.2540313218,NA,512478.466505721,11366.0972068533,28041.7366025487,10358.2998472317,381240.697439487,12274.3333155997,483787.395391888,81682.3082707084,10754.1446916334,241811.551048115,23457.9377917227,14418.0473335379,1586257.82984624,8950.25908905272,46395.1330199524,18597.7848670682,NA,NA,6030115.21373661,528391.459828421,306261.641487431,NA,1046377.42385824,96928.7706519276,14027.0646164295,NA,NA,NA,NA,449586.033873089,NA,275516.415798017,87843.572259427,NA,1868413.09062231,70999.6326615608,41170.161728998,13332.6456357787,NA,NA,12917.9643871827,NA,1659829.26135251,81889.8187710948,151692.312205458,30550.5184321015,NA,1717193.3972948,16536.1454289478,NA,348023.657003468,NA,5965.59435300816,1975832.55018343,104743.085185319,107516.119860314,NA,643186.451642943,126637.044053029,38272.6543535759,1409565.69533075,24387.0061847094,NA,2800.51700106188,NA,2044.15635089027,NA,630545.028501187,221696.272218706,NA,64357.2080204996,139207.992790763,NA,4121.63794929154,234883.173117264,NA,267874.758709816,NA,310500.074754382,NA,1052.02194705277,NA,1738428.73084389,349277.867181862,168223.857039113,124197.901859055,NA,35191.2897673243,14302.6406124128,NA,107781.21540694,32426.4402988463,81199.554568492,NA,2215328.68071637,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W95_LTR.mzML",NA,719820.544525576,291632.904218442,80769.1743608885,NA,NA,NA,56043.5049306355,9643.65196533608,1676700.65872297,446345.84994357,45659.8455282747,NA,188416.581121671,NA,9729.60045977591,4319.86482137279,365336.512950425,11711.1485519223,333978.487849301,67670.8874111154,6074.47017746734,160332.183810495,NA,9211.73204302739,916564.839229644,3689.43186863242,28407.6117596391,10466.1152206246,NA,NA,4563415.98403658,264519.448150308,177057.207041402,75296.8998186412,1264521.04799143,111416.624343075,17210.8170984311,NA,NA,NA,NA,71539.1199378963,13281.3129728656,90955.8165074482,29898.1237380345,NA,996399.381713167,40999.5906412629,31223.163661085,10714.0896041311,NA,NA,NA,3610127.14476203,696439.509089723,7647.06117925407,171133.797224918,NA,NA,1052356.97932398,11487.844992598,NA,316609.471683458,9198.91270931626,5672.84220489878,1257994.33725471,NA,68130.1022513036,NA,332992.498970861,99060.8718378068,20133.5118543825,969356.969974854,25822.1201942995,34180.6959446194,NA,NA,NA,NA,454157.323968399,185605.170114031,2645.80868398996,47501.2310150166,115319.400835863,NA,NA,192520.592852738,8469.7196755458,105244.987882836,NA,248086.613978073,3332.24766773987,917.040096039107,NA,1107174.67794479,223911.238553551,107193.459291291,129213.877557305,NA,20383.4429862717,9321.86609603785,3118.92248563574,108822.986474223,28589.7400356354,99519.4706322004,NA,1449789.15132325,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W96_SR.mzML",NA,1397108.08964458,481777.014711703,135399.967575906,NA,NA,NA,80570.5290368824,15167.1391089281,1390246.86478554,373803.08259747,38880.805098233,NA,495375.738550426,10647.0479865577,27452.1075433672,10918.7028303602,358690.97471072,NA,468008.078442858,80392.1034184904,9904.52235089274,234330.310542506,23739.1832213391,14600.0583148457,1540825.99940041,NA,45179.5987821342,17702.6492632625,16635.6192125007,NA,6022976.2216992,519381.937331077,306313.950135692,31995.2406286319,1003326.78521774,98436.3192443513,13897.5669643295,NA,14949.2397041976,7409.91159611268,NA,440420.097331744,85729.4026015174,264918.441162703,85056.1734077925,NA,2304376.28367635,86648.6458497878,39544.0271837044,13208.9672317758,NA,NA,NA,NA,1604243.61575631,63071.4143895756,150051.512979362,31675.5998194061,NA,1662732.23759499,17639.4249817794,NA,339823.547223158,NA,6062.42382088707,1890921.02550083,100862.563076551,102238.665443847,49247.0084162429,615063.989011068,123829.20463729,37394.5118266902,1347271.16779391,23803.4938979538,NA,NA,NA,NA,NA,606673.836901867,216208.304138516,NA,58689.3107235725,136034.066148549,NA,6325.70211395327,225228.030580156,NA,260250.535747441,NA,292185.173237417,4254.88443106642,NA,NA,1662946.8293435,336551.320835305,161802.181710883,119119.640141439,NA,35117.7077395941,14021.68983244,NA,104184.919052124,NA,82205.6146735514,574.935099188575,2125004.61345322,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U6W11_LTR.mzML",NA,670214.12294107,286950.585705653,81104.5530879887,NA,NA,3318.41266767673,56560.4691665776,10971.0046634534,1663272.78693646,449500.075362884,44877.4515402082,1003.27579120786,183641.550986456,3965.29439006355,9414.81058590194,4384.89069820256,297621.990784609,8858.0026789336,323265.926373431,64353.9029118456,5805.93018414257,156944.352750006,22624.3695848167,9012.39342792979,884722.486183177,NA,26600.8935976273,9613.87135178577,NA,NA,4638734.40029003,267529.123012314,176035.834795883,77569.9293557205,1243568.05632054,117493.969467127,16528.0074923967,NA,NA,NA,201096.131494402,70635.0249066525,13091.1041421949,90602.9728154198,29822.7385228845,NA,2037838.5215116,72555.5129719672,27699.3046632531,10679.5786799821,NA,NA,NA,3557097.36584235,688881.897625694,26527.4866421996,171158.625060378,58097.3522851111,NA,1025299.82120836,10456.2163048221,NA,304919.450557109,8744.39939080782,5378.74511909627,1251591.41710813,58681.6954904077,68954.1283135459,34674.0538257079,325177.465037196,96188.1998384065,19981.4010863165,930616.833453498,25222.4205072991,NA,159.199236552543,NA,NA,NA,444625.845250911,181406.771285682,NA,48866.1456355916,120278.944723635,NA,NA,191339.053440873,NA,105130.833290293,NA,244990.452295522,3506.1518936044,664.913871071978,NA,1085017.81253017,220934.64122672,102970.318548365,126506.73363317,NA,18837.5694337211,11041.5884648785,NA,108441.731339219,32082.091209245,98239.3059327874,NA,1430350.65727125,NA,NA
