"","RNEG-002.1","RNEG-002.2","RNEG-002.3","RNEG-002.4","RNEG-003.1","RNEG-003.2","RNEG-003.3","RNEG-006.1","RNEG-006.2","RNEG-009.1","RNEG-009.2","RNEG-009.3","RNEG-009.4","RNEG-011.1","RNEG-011.2","RNEG-011.3","RNEG-011.4","RNEG-016.1","RNEG-016.2","RNEG-020.1","RNEG-020.2","RNEG-020.3","RNEG-021.1","RNEG-021.2","RNEG-021.3","RNEG-022.1","RNEG-022.2","RNEG-022.3","RNEG-022.4","RNEG-022.5","RNEG-023.1","RNEG-023.2","RNEG-023.3","RNEG-023.4","RNEG-023.5","RNEG-024.1","RNEG-024.2","RNEG-024.3","RNEG-024.4","RNEG-027.1","RNEG-027.2","RNEG-027.3","RNEG-028.1","RNEG-028.2","RNEG-031.1","RNEG-031.2","RNEG-032.1","RNEG-032.2","RNEG-032.3","RNEG-033.1","RNEG-033.2","RNEG-035.1","RNEG-035.2","RNEG-035.3","RNEG-041.1","RNEG-041.2","RNEG-041.3","RNEG-043.1","RNEG-043.2","RNEG-043.3","RNEG-045.1","RNEG-045.2","RNEG-045.3","RNEG-048.1","RNEG-048.2","RNEG-048.3","RNEG-049.1","RNEG-049.2","RNEG-049.3","RNEG-049.4","RNEG-052.1","RNEG-052.2","RNEG-052.3","RNEG-054.1","RNEG-054.2","RNEG-054.3","RNEG-054.4","RNEG-059.1","RNEG-059.2","RNEG-059.3","RNEG-060.1","RNEG-060.2","RNEG-060.3","RNEG-063.1","RNEG-063.2","RNEG-063.3","RNEG-063.4","RNEG-065.1","RNEG-065.2","RNEG-068.1","RNEG-068.2","RNEG-069.1","RNEG-069.2","RNEG-069.3","RNEG-071.1","RNEG-071.2","RNEG-071.3","RNEG-071.4","RNEG-074.1","RNEG-074.2","RNEG-075.1","RNEG-075.2","RNEG-075.3","RNEG-078.1","RNEG-078.2","RNEG-079.1","RNEG-079.2","RNEG-080.1","RNEG-080.2","RNEG-080.3"
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD01.mzML",157033.75,855.62158203125,8621.0546875,3049.986328125,1379.5029296875,226.448852539062,165.617309570312,2884.9921875,276.599365234375,30413.578125,13936.6328125,1261.779296875,117,6673.2265625,206,396.611572265625,229.800537109375,19495.90625,718.67041015625,28105.484375,18588.90625,554.33984375,3473.47265625,902.431640625,332.8818359375,20147.796875,516.43896484375,721.08251953125,264,114,895695,76399.1875,13109.1171875,8916.6171875,3863.982421875,18721.46875,8091.515625,324.782958984375,242.979125976562,6416.29296875,2019,5772.6484375,2768.44140625,488.794189453125,2284.10546875,902.88134765625,618551.5,91339,3980.62890625,1584.4765625,175.77099609375,116106.8125,4037.98828125,3720.419921875,158147.5,24341.28125,1074.5419921875,5114.375,8582.5078125,516.40625,37011.03125,588.55322265625,874.3115234375,43985.53125,4076.6796875,732.259765625,58964.625,2540.83203125,3618.587890625,909.5419921875,10377.78125,4801.87109375,721.30810546875,14598.6484375,1476.91796875,528,0,9250.7265625,473,239.362915039062,9964.2734375,5395.92578125,219.212524414062,1141.0908203125,2876.427734375,263.777587890625,0,2667.3203125,238.954833984375,9557.0234375,2685.380859375,14674.875,740.04931640625,0,22452.96875,2522.697265625,763,1061.943359375,2418.263671875,120,2760.251953125,6618.8984375,366.3544921875,2285.943359375,481.01513671875,1017.681640625,192.433349609375,15647.0390625,6939.60546875,1242.37109375
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD02.mzML",156609.75,668.35498046875,8466.96875,2258.953125,1615.099609375,118.20556640625,184,2947.529296875,581,29102.34375,13803.4765625,1043.4462890625,150.259765625,6188.68359375,253.148193359375,359.011474609375,379,17891,414.92626953125,25083.65625,17694.484375,623,3782.00390625,423.544921875,244.3330078125,20376.59375,165.864868164062,654.13330078125,414,128.54833984375,912402,82486.6875,12412.1796875,9856.109375,3782.6953125,19335.625,7327.45703125,253,301,5701.48046875,1945.1240234375,5970.05078125,2503.724609375,503.39990234375,2817.197265625,804.45751953125,809988.5,140867.75,4715.8671875,1783.6982421875,513.6171875,114748.1875,629.3203125,4392.13671875,152983.75,24906.75,1049,5347.078125,8111.96875,439.750244140625,35154.1875,521.47802734375,631.32080078125,42699.34375,4080.6015625,835.2744140625,55957.84375,2745.029296875,4221.33203125,1208,10509.5078125,4586.140625,632,14604.2421875,1276.947265625,387.026123046875,354.349853515625,11200.5234375,543.884765625,128.459350585938,10490.3515625,5121.76953125,188.517578125,838.0380859375,2921.552734375,134.509399414062,316.702392578125,2491.8046875,229.003784179688,9200.6171875,2115.37890625,13598.3359375,184.277465820312,105.6396484375,19612.859375,2463.5390625,616.38232421875,1063.9970703125,2107.318359375,112.434387207031,3047.92578125,5753.30859375,342.08447265625,2148.79296875,564.16455078125,752.92333984375,197,14180.515625,6641.390625,1087.3955078125
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD03.mzML",156929.625,655.52685546875,8371.3984375,2537,1488.166015625,226.19091796875,187.172241210938,2659.23046875,501.003662109375,31287.34375,13493.6875,1005.564453125,141.359375,6118.2109375,176.127807617188,614.60400390625,125.076293945312,13910.9609375,400.42333984375,25244.53125,17221.65625,396.631103515625,3782.248046875,1098.4599609375,214,21713.421875,231.036376953125,596.23974609375,175.35986328125,262.47119140625,936194,85110.625,11302.0390625,10080.359375,3580.4375,19037.1875,7377.59375,326.124755859375,367.195556640625,6318.30859375,1552.2724609375,5919.06640625,2717.236328125,479.39013671875,2016.47265625,934.94189453125,1058186,228561.125,5550.37890625,1503.39453125,451.501220703125,117145.8125,2770.126953125,3122.740234375,155237.75,23116.578125,1100.052734375,5302.10546875,7623.8671875,463.208984375,36026.84375,580,712.5673828125,41485.59375,3734.806640625,618.83251953125,57738.4375,2314.720703125,3216.90234375,1017.22265625,9497.25,4518.76171875,777.8359375,14845.8046875,1733.3837890625,351,286.87939453125,9837.7734375,637,142,10298.078125,5881.6953125,162,1005.525390625,2026.1572265625,237.703735351562,171.0478515625,2554.369140625,246.906494140625,8950.8046875,2802.80078125,13200.5703125,396,0,18452.34375,2437.59375,621.08154296875,1340.7998046875,1886.96875,0,2969.705078125,5505.82421875,636,1840.361328125,727.1201171875,694.189453125,130,14948.484375,6325.9296875,867.322265625
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD04.mzML",162710.625,849.13037109375,8578.4609375,2243.701171875,1325,149.375366210938,175,2968.6484375,334,34233.03125,15779.71875,1175.708984375,0,5956.84375,232.522705078125,470.12939453125,141,20363.421875,614.61767578125,25671.484375,18325.125,612.7919921875,3329.1640625,534.2958984375,215,21715.3125,432,684.1904296875,179.323608398438,166,986886,89188,13766.59375,11652.1875,4204.734375,18611.46875,7022.66015625,447.158447265625,190,5428.62890625,1553.8857421875,6358.33203125,2663.474609375,616.4287109375,2593.845703125,978.861328125,597847.5,84836.0625,3531.0546875,1513.083984375,627.328125,114556.125,827.4560546875,3959.017578125,156763.375,24799.46875,1092.970703125,5808.27734375,8701.59375,382.754638671875,35444.125,335.2958984375,752,43772.75,4405.640625,975.71337890625,57496.53125,2703.5078125,3721.83984375,1189.17578125,10715.5859375,4997.6953125,604.67919921875,14441.1484375,1360.6845703125,474.77294921875,285,10573.25,589.23095703125,252,10956.2890625,5917.4921875,389.990966796875,1025.1708984375,2872.021484375,189,122.6552734375,2434.603515625,211.70849609375,9588.0859375,2240.173828125,14082.671875,389.650146484375,112,18333.765625,1991.2099609375,561.0234375,985.4970703125,2045.916015625,163.674926757812,3568.291015625,6319.7109375,576.26904296875,1797.78515625,725.2021484375,671.970703125,168.334594726562,14678.4921875,6005.98046875,414
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD05.mzML",154048.625,621.69970703125,8653.8671875,2121.859375,1630.107421875,170,129.445556640625,3156.443359375,411,34940.09375,15627.59375,1314.5751953125,145.856567382812,6101.42578125,185.696044921875,399.732421875,191,17870.6875,531,25372.453125,17209.671875,526.73486328125,3549.1640625,132.998901367188,186.351806640625,19635.796875,718.59521484375,634.55712890625,262,157,977522.5,89738.9375,12759.0546875,9893.390625,3833.212890625,18874.140625,8167.875,284,370,5721.3984375,1608.779296875,5896.87109375,2235.283203125,509.8994140625,2414.900390625,970.38134765625,670491,98505.75,4386.953125,1632.76953125,742.93115234375,116410.5,2120.201171875,3503.609375,154803.875,24059.484375,1078.837890625,5334.515625,8337.625,383.277099609375,36863.15625,436.956787109375,679,43270.71875,4322.046875,977.26123046875,56428.1875,2326.03515625,3317.734375,1083,9526.015625,4957.66015625,476.99462890625,15299.390625,1613.7646484375,376.311767578125,444,10206.6328125,663.5712890625,0,11253.734375,6019.578125,259.605224609375,1051,3117.068359375,145,286,2648.126953125,153.641235351562,9395.515625,2619.9375,14220.46875,325,117.31982421875,18493.046875,2052.322265625,512.5625,1604.6025390625,2113.990234375,0,2911.759765625,6039.69921875,585.8662109375,2193.91796875,680,766.43310546875,125.387390136719,14348.828125,6549.12109375,1358
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD06.mzML",164361.375,751.26953125,8743.8046875,2296.1875,1296.8623046875,190.103637695312,187,3605.556640625,296,36690.96875,15426.7265625,1246.666015625,231,6016.1875,275.818359375,454.13330078125,172.696899414062,16444.6875,672.90625,27274.671875,18076.84375,707.548828125,3381.763671875,785.97216796875,269,20681.34375,195.273071289062,554,128,396,977228,89327.5625,12236.53125,10039.703125,4135.07421875,19410.5625,7512.53125,467.55224609375,491.179443359375,6274.01953125,1540.814453125,6255.7890625,2629.791015625,533,2482.533203125,1128.7587890625,1012993.5,205813.875,5217.62109375,1485.6328125,420.256591796875,117488,1266.6748046875,4978.72265625,162308.625,25544.34375,1029.3349609375,5942.01171875,8519.0078125,396.7138671875,38841.40625,480.953369140625,866.7314453125,46861.65625,3766.447265625,844.546875,60306.125,2449.474609375,3828.01953125,1225.3349609375,10282.515625,5097.65234375,829.9716796875,16455.171875,2183,690.064453125,240.476806640625,10343.96875,419.71142578125,316,11484.734375,5847.4765625,313.404296875,798,2853.046875,122.541442871094,152.600830078125,2393.751953125,206.824340820312,8743.0078125,2453.693359375,14076.2578125,411.10009765625,159,18626.3125,2385.5,631,1310.5234375,1762.875,188,2836.974609375,6567.91015625,646.13818359375,1820.017578125,578,742.732421875,280.03173828125,13959.6328125,6532.96484375,1029.123046875
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD07.mzML",165775,513.56494140625,8493.34375,2100.19921875,1253,118.389831542969,112.696533203125,3094.818359375,354.366943359375,36005.84375,15533.2890625,1179.7841796875,230.792358398438,5665.76171875,239.609130859375,597.818359375,183.359130859375,19044.171875,640.787109375,24199.109375,17799.9375,524.1943359375,3885.830078125,515.15625,316.858154296875,20943.171875,876,891,219,430.054443359375,1003094.5,91617.1875,12457.515625,10198.75,4117.08984375,19492.796875,6963.13671875,443,188,7227.26171875,1874.7626953125,6605.1015625,2517.92578125,412.421875,2251,1069.4375,667127.5,100776.9375,4345.84765625,1365.345703125,418.972412109375,116192.375,917.84765625,4140.80859375,160280.75,25031.4375,1105.259765625,6157.53125,8302.1484375,510.82958984375,37881.3125,474,802,45102.75,4177,895.26123046875,57925.40625,2696.18359375,3737.09375,1649.734375,10675.7265625,4651.49609375,749.5322265625,16054.3984375,1434.501953125,579.63671875,338,10450.53125,466.1181640625,326,10840.5390625,6146.31640625,146.753295898438,914.33935546875,2529.0546875,128.31982421875,266.5244140625,2573.87109375,327.628662109375,10408.0625,2470.564453125,13512.9765625,251.732543945312,0,17889.265625,2286.162109375,606.4521484375,1223.6416015625,2298.47265625,0,2958.435546875,6454.25,723.548828125,2499,677,802,111.979797363281,14683.625,6712.703125,1065.8583984375
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD08.mzML",160820.125,996.47802734375,8532.9453125,2511.66796875,1437.25,220.875,195.535522460938,2825.341796875,471.374755859375,36533.09375,15623.359375,1155.2314453125,0,6419.03125,281.5009765625,500.02685546875,238,18682.53125,715,24314.546875,17949.40625,390.742431640625,3554.306640625,1133.6611328125,232.609741210938,20770.8125,747.3701171875,776.62939453125,202,210.813110351562,971909.5,87502.625,12513.4140625,10432.5390625,3657.98828125,18374.078125,7885.6953125,467,249.494506835938,6823.05859375,1906.3544921875,6137.81640625,2613.423828125,688.54296875,2506.828125,1129,816924.5,143759.375,4492.6640625,1589.236328125,641,111770.5625,5304.8046875,3990.44921875,159768,24435.953125,1263,6208.41015625,8264.484375,309.340087890625,39184.5,621,592.09619140625,46831.78125,5021.08203125,847.54541015625,60761.15625,2372.55078125,3777.294921875,1293.158203125,10499.3203125,4946.3125,800.48974609375,16028.1015625,1728.6689453125,435.162353515625,322.51220703125,10495.0546875,403.957275390625,353,11858.046875,7055.75,508,1170.623046875,2783.345703125,219.69384765625,271.332275390625,2590.908203125,305.1298828125,9439.796875,2103.984375,14009.71875,188,0,17389.265625,1947.71484375,558,1113.9921875,2269.033203125,0,2659.982421875,5055.203125,614.2998046875,2133.189453125,495.8759765625,1064.70703125,226.134155273438,15051.578125,6170.0390625,741.6787109375
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD09.mzML",164125.75,608.01220703125,8837.921875,2518.57421875,1411.734375,198.8330078125,166,2887.31640625,315.813232421875,36028.84375,15589.2578125,1370.26953125,142.892333984375,5933.3125,241,542.66552734375,334.12841796875,19734.03125,336.70947265625,27126.09375,17672.203125,754,3616.609375,759.822265625,291.353759765625,21104.203125,702.94580078125,673,270,374,993723.5,90840.8125,13256.6953125,9760.640625,4228.62890625,21171.0625,8736.5703125,460,238.640014648438,7527.59765625,1832.505859375,6553.78125,2707.041015625,653.0322265625,2958.125,1287.67578125,665480.5,98562.5625,3641.9609375,1710.689453125,793.14599609375,112825.6875,527.63427734375,4345.22265625,160251.125,26415.015625,1715.740234375,6147.58203125,7730.2265625,365.9501953125,37432.375,853.24169921875,848.42724609375,44315.53125,4347.50390625,773.85400390625,59582.15625,2371.25390625,3886.9296875,1077.53515625,10898.7265625,4416.9375,661.36083984375,14636.0703125,1561.3515625,416.965576171875,271,10694.4140625,463.09228515625,122,12736.5625,6370.12890625,420.1591796875,1109.1259765625,3338.908203125,281.0107421875,236.71484375,2887.5078125,265.923095703125,10043.078125,2522.77734375,14186.7890625,306.97705078125,0,16964.234375,2218.689453125,612,1368.9296875,1993,145.000366210938,2923.775390625,7149.3046875,625.77978515625,2003.87890625,540.49560546875,890.06591796875,209.387451171875,14419.5703125,6183.0078125,1396.3408203125
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD10.mzML",159934.375,635,8887.09375,2790.400390625,1441.7470703125,136.90087890625,176.89208984375,3238.9765625,355.390625,37247.34375,16154.890625,1276.6904296875,131.639404296875,6400.0390625,198.778076171875,461.649658203125,167.046752929688,17642.078125,340,27105.171875,18091.640625,679.3583984375,4184.5390625,168.928588867188,136.981323242188,21286.390625,666.98681640625,673.42724609375,198,156.150390625,985760.5,89684.3125,13376.921875,10750.03125,4405.30078125,22064.15625,7926.015625,455,392,8612.3046875,2525.19921875,5848.734375,2486.255859375,483.566650390625,2485.625,1288.0380859375,1045237.5,213086.75,6285.4609375,1305.3505859375,656.97705078125,113191.8125,442.869384765625,3766.84375,169084.25,25402.515625,1237.2705078125,5887.33203125,7768.7890625,455.862548828125,40333.15625,443.24169921875,807,44636.4375,4331.9765625,670.1484375,58726.84375,2636.2578125,3985.568359375,1250.755859375,11809.7578125,4773.87109375,791.97216796875,16263.5546875,1569.9599609375,461,354,10868.8515625,815.21533203125,252.279907226562,11787.7578125,5989.4921875,316,1189.0361328125,3043.83203125,313.749267578125,135.853637695312,2406.5625,194.745239257812,9808.015625,2259.380859375,13687.734375,285.231689453125,111,18292.859375,2384.109375,560,1486.494140625,2032.412109375,120,3344.798828125,5810.43359375,873,2204.189453125,484.985107421875,717.83740234375,184.253173828125,14047.7578125,5659.31640625,1360.65234375
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD11.mzML",1497590,52755.1875,73925.5,21390.21875,14698.71875,538.91943359375,974.630859375,22231.65625,1656.166015625,158881.5,66058.8125,4702.5859375,146.3486328125,51220,1351.2001953125,3519.3515625,1071.93359375,136846.875,4127.30078125,196214.875,97860.75,3590.75,29840.875,6825.06640625,1812.5888671875,203426.5,6350.6953125,5776.90625,2316.84375,2979.4296875,4584984,2858612,101300.375,76002.8125,30589.90625,163436.125,60570.65625,2580.7265625,1708.0869140625,45796.15625,12515.4921875,6051.99609375,20161.390625,3676.439453125,18902.53125,6815.4609375,2453220,369623,13288.625,16872.5,6227.73828125,52005.25,34241.375,2438.49609375,1175798,181238.25,6689.4609375,46584.8125,23443.609375,1727.1064453125,397503.75,4547.66796875,6907.0078125,358050.25,18783.921875,7462.9765625,452836.75,19095.046875,26339.75,8989.3671875,94766.375,39340.40625,5936.9609375,125973.8125,9823.9609375,4365.0703125,460.913818359375,79982.8125,3246.53125,1199,66137.5625,33524.21875,1312.7138671875,8094.00390625,22381.953125,199.64453125,1380.599609375,20566.09375,1292.5712890625,87858.375,18493.09375,129182.375,2150.07421875,562,779666.5,86960,16603.625,10590.6875,17909.734375,409.502197265625,26307.03125,44817.28125,4716.95703125,15206.3203125,4311.21875,6458.34765625,723.03173828125,270221.75,104205.5625,230.760986328125
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD12.mzML",1538393,51472.8125,75754,22044.90625,14541.0546875,426.694580078125,865.76318359375,21822.46875,1948.978515625,163760.375,71709.625,5391.14453125,0,51309.3125,1355,3152.810546875,1150.3603515625,124212.0625,3883.064453125,193982.875,102781.6875,4355.0390625,30516.03125,6464.2265625,1665.26953125,208631.75,358.260009765625,5819.81640625,2408.888671875,2834.17578125,4202560,2843812,94874.625,76496.3125,31230.484375,163440.5,60471.125,2846.45703125,2278.365234375,46703.75,12462.1875,6415.4375,20432.265625,4183.93359375,18959.3125,7365.10546875,2652530,405840,15733.734375,17076.625,5847.89453125,60254.03125,38673.5625,2378.931640625,1187773,188863.375,6061,47705,22130.375,1542.4677734375,381908.25,5357.3125,7034.609375,369862.25,20899.265625,6875.96484375,444209,18679.984375,27572.75,8832.3359375,94858.5625,39207.6875,6534.5546875,136927.375,10118.4375,5655.07421875,1509.349609375,80966.375,2569.412109375,496.711669921875,66991.375,33281.34375,1187.25390625,7731.2265625,21175.78125,213.483520507812,290.204833984375,20936.28125,1313.171875,87512.6875,19492.171875,123336.625,2230.833984375,435,798273.5,90079.875,17436.25,9412.953125,17328.046875,477.322998046875,23052.109375,42224.3125,3809.33984375,15409.0859375,5228.30078125,6296.78515625,510,267923,43247.53125,2332.69140625
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD13.mzML",1490809,51989.6875,73690.875,20904.5625,14506.03125,481,675.00341796875,23201.015625,2026.0244140625,159025.75,66700,4691.8515625,248.600463867188,50657,1274,2705.908203125,1234.0390625,135800.875,4141.73828125,189987.5,99634.5625,4020.634765625,28498.5,6705.97265625,1663.6005859375,206649,6075.04296875,6240.8203125,2455.193359375,2623.6796875,4296116,2871982,96327,75789.3125,29096.625,166934.375,60225.3125,2833.521484375,2185.98046875,47873.40625,12509.59375,6609.65234375,21406.6875,3513.017578125,18426.1875,7406.51953125,2531180,447526.5,14951.109375,16080.109375,5759.625,50944,36629.65625,2085.234375,1176074,181381.75,6630.2578125,46324.6875,21705.65625,1953.673828125,392035.25,4991.6640625,8144.48828125,369363.75,18997.015625,7153.39453125,441245.75,19714.65625,26817.8125,8632.3203125,92522.1875,39771.25,6350.71484375,128746.125,9149.046875,4857.36328125,2049.6953125,81260.5625,2472.587890625,0,69084.875,33765.5625,499.551513671875,8101.58203125,23899.609375,208.502319335938,672.25341796875,20434.828125,455.123046875,87258.5,20167.34375,128802.0625,2080.05078125,531.82080078125,758701.5,87479.5625,17720.71875,8535.9765625,17564.03125,496.807861328125,25161.796875,42738.96875,4053.279296875,15196.8828125,4536.49609375,5728.6953125,660.6513671875,279157.5,127732.875,1899.2939453125
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD14.mzML",1475742,44850.53125,72672.25,20379.421875,14704.3515625,639.22705078125,730.34814453125,22088.53125,1572.197265625,157043.75,65697,4880.99609375,423.161865234375,50650.625,1119.857421875,2927.53125,1300.26171875,139293.75,4241.484375,175861.125,97673.4375,3548.24609375,29733.96875,7211.73046875,1724.6396484375,199874.25,4601.2890625,5464.7109375,2309.29296875,2674.943359375,4443032,2898698,96887.4375,76929,29642.71875,158440.5,60293.25,2865.36328125,2391.201171875,46715.34375,11468.046875,6184.71875,19814.671875,3772.1875,19345.265625,7101.3203125,2456644,382236.75,14298.796875,15811.234375,6833.203125,52621.875,37043.03125,2315.80859375,1164220,173729.5,6827.83984375,47383.09375,21885.828125,1736.18359375,385116.25,5218.91015625,7858.75,361681.5,20261.921875,6648.74609375,441106,19066,27779.296875,8888.484375,92979.4375,38845.03125,5802.9609375,122259.5625,9316.5390625,4985.109375,1018.6416015625,80227.9375,1407.21484375,0,64406.15625,31484.03125,1264.8671875,8001.58984375,20152.03125,123.269592285156,1258.380859375,19242.5,858.00390625,82108.6875,18581.3125,126224.5625,2094.517578125,567,765268.5,85530.5,17292.65625,8856.6328125,17770.1875,430.169189453125,25119.96875,40075.78125,3995.04296875,15458.875,4349.23828125,5695.5,774.40478515625,264818,121724.375,1292.4072265625
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD15.mzML",1493378,45492.375,75694.125,22058.109375,14935.5703125,411.17529296875,569.76318359375,21128.8125,1986,156128.875,64640.875,5055.6953125,218.979858398438,50389.34375,1211.6630859375,2851.470703125,1537.060546875,136495.25,4444.1875,185831.25,95949.0625,4002,30883.90625,6523.31640625,2085.0625,209652.75,6747.20703125,5313.91796875,2325.55859375,2508.072265625,4004084,2940320,96583.5625,79092.1875,32492.859375,165224.75,59618.15625,2905.47265625,2194.69921875,45437.9375,11801.8203125,6202.67578125,20550.59375,3615.79296875,19522.75,6483.34765625,2728936,347373,15624.640625,15958.2265625,5885.05859375,56048.53125,37699.71875,2079.416015625,1171541,180819.875,7090.390625,45867.9375,21560.40625,1822.3525390625,368539.5,4472.50390625,7013.78515625,366759,19557.953125,6783.5390625,442614,18189.53125,27676.0625,8093.9375,96432.375,39225.3125,5905.3671875,126423.25,11113.8125,5269.95703125,1709.1044921875,82265.625,4238.33203125,416.087890625,65599.0625,34385.21875,1245.4052734375,8131.953125,20533.28125,0,617,21531.71875,656.95458984375,85775.5,18887.390625,122547.6875,2223.033203125,681,746061,84204.6875,18322.984375,9375.7421875,16680.171875,375.369140625,21730.015625,36814.09375,2951.568359375,15096.2734375,4437.61328125,6250.10546875,877.8837890625,270346.5,118580.6875,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD16.mzML",1450909,51389.15625,70690.5625,18581.65625,14366.03125,551.91552734375,678.166015625,21651.546875,1706.0107421875,156100.25,65748.1875,4526.29296875,192.257446289062,50762.59375,1364.630859375,3032.9453125,1010.84423828125,108938,4083.814453125,166456.75,93834.1875,3683.486328125,30038.296875,6939.38671875,1890.55078125,210835.5,5919.63671875,5930.30078125,2075.669921875,2408,4592500,2811394,96798.875,75723.5625,27520.921875,156678.75,59111.625,2298.326171875,1971.1005859375,45104.15625,12515.6875,6358.41015625,21296.65625,4067.86328125,19184.125,6625.14453125,2908142,569966.5,17953.09375,14819.2578125,5902.5078125,60083,36300.375,2351.849609375,1138366,180418.25,7027.33984375,45164.1875,21840.046875,1976.353515625,374587,4733.140625,7815.91796875,356417.75,17716.078125,6481.640625,430874.75,18398.6875,26650.796875,8701.859375,91532.9375,37616.5,6357.19140625,126298.6875,10219.9296875,5185.07421875,314.48779296875,78718.75,3462.1640625,1217.791015625,63642.6875,30586.140625,1273.26171875,8734.3125,21621,150.280517578125,1317.244140625,20503.859375,935.9912109375,80240.75,19312.84375,111332.875,2053.6171875,509,710725,79504.6875,16683.75,8374.1640625,17077.625,379.773681640625,23371.59375,43594.75,4602.609375,14823.984375,4545.75390625,5874.05859375,1269,253467.875,111656.8125,782.46728515625
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD17.mzML",1439409,46610.125,74242.3125,20887.671875,14579.4765625,449,694.1162109375,20464.109375,2031.515625,155287.875,64911.625,5258.31640625,233.671142578125,50053.21875,1138.4560546875,3019.439453125,1148.47265625,140570.625,4265.26953125,177012,94996.3125,3590.16015625,29687.203125,6421.48828125,1888.6201171875,199427.625,6669.75,5680.72265625,2241.09375,3117.474609375,4472024,2749094,94319.5625,73517.75,28328.390625,153273.875,57688.03125,2819.208984375,1633.0205078125,44444.21875,11165.9375,6708.71484375,20413.5625,3784.67578125,18529.1875,7384.359375,2432856,403049.75,14067.6015625,16416.34375,6104.4140625,51914.65625,37151.1875,1975.373046875,1142398,171949.5,7752.14453125,46734.84375,20863.890625,1898.11328125,373210.25,5342.1640625,5788.828125,353153,19253.796875,6896.73046875,428056,19364.015625,26954.671875,8965.3515625,88569.625,37346.9375,5714.85546875,123903.375,10102.1328125,4685.47265625,2075.974609375,78217.8125,2761.908203125,116.601684570312,63067.15625,31205.6875,1542.466796875,6831.82421875,19055.734375,202.431274414062,1059.1875,20465.421875,775.546875,79519.75,18759.609375,118694.875,2116.953125,523.68359375,669619.5,74623.3125,15559.96875,8972.90625,17422.78125,261.252197265625,23144.359375,40518.28125,4806.6484375,14654.6953125,4285.0390625,5866.7734375,633.74267578125,255181.125,91856,151
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD18.mzML",1419592,47260.875,68875.1875,19053.796875,14536,718.72119140625,913.8798828125,21732.265625,1743,152340.875,63973.96875,5856.1796875,125,48386,966.564453125,2665.419921875,1015,117441.0625,3280.9375,168988.625,94651.3125,3470.162109375,28752.4375,6573.1484375,2132,201868.5,5512.54296875,6028.00390625,2689.107421875,2725.52734375,4308576,2829566,93300.1875,73820.625,29320.84375,160365.625,58359.03125,2345.759765625,1831.423828125,43978.5625,11828.2734375,6351.86328125,20455.953125,3645.857421875,18403.09375,7053.0234375,2781606,428615.75,17537.765625,14566.6953125,5667.796875,53055.71875,36919.53125,2324.248046875,1131895,173282.75,5694.93359375,43414.5625,22067.953125,1863.09375,360602,5225,6693.0234375,350640.75,18067.984375,7026.9140625,432335,17924.8125,26204.6875,8532.8359375,86570.9375,36973.6875,6310.50390625,123518.5625,9902.3984375,4178.68359375,1813.978515625,77192.875,3039.07421875,0,63095.40625,32542.484375,503.849609375,8399.59375,19389.890625,103,432.006103515625,19594.46875,606.77783203125,78644.125,18565.953125,115289.375,2274.849609375,557.70751953125,705389.5,81133.75,16869.1875,8223.7109375,14834.2265625,199.068237304688,22116.09375,39932.90625,2437.76953125,14428.0625,4044.28125,5625.8984375,335.95361328125,244875.5,89052.125,267.668212890625
